Vehicle Type,CO2 Factor (kg CO2 / unit),CH4 Factor (g CH4 / unit),N2O Factor (g N2O / unit),Units
Passenger Car,0.17515256410803692,0.005141464699844529,0.003440577635619231,vehicle-mile
Light-Duty Truck,0.9546034049021956,0.026064968460632252,0.023133888988455493,vehicle-mile
Motorcycle,0.37674637749847223,0 ,0.019211951937708936,vehicle-mile
Intercity Rail - Northeast Corridor,0.058,0.0055,0.0007,passenger-mile
Intercity Rail - Other Routes,0.15,0.0117,0.0038,passenger-mile
Intercity Rail - National Average,0.113,0.0092,0.0026,passenger-mile
Commuter Rail,0.13331164474515053,0.0105219305594572,0.002610215057937869,passenger-mile
"Transit Rail (i.e. Subway, Tram)",0.09306907802045235,0.007462268859404379,0.001017582117191506,passenger-mile
Bus,0.07070758752734074,0 ,0.0021260644223811396,passenger-mile
Air Travel - Short Haul (< 300 miles) ,0.20692926045016075,0.006430868167202572,0.0065819288288482694,passenger-mile
"Air Travel - Medium Haul (>= 300 miles, < 2300 miles) ",0.1292604501607717,0.0006430868167202572,0.004100217958954661,passenger-mile
Air Travel - Long Haul (>= 2300 miles) ,0.16255627009646303,0.0006430868167202572,0.005179222684995361,passenger-mile
